polarity	aspect	term	term_pos	sentence	input
positive	AMBIENCE#GENERAL	seating	18:25	short and sweet – seating is great:it's romantic,cozy and private.	seating 18:25 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	trattoria	25:34	This quaint and romantic trattoria is at the top of my Manhattan restaurant list.	trattoria 25:34 AMBIENCE#GENERAL
positive	FOOD#QUALITY	food	98:102	The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.	food 98:102 FOOD#QUALITY
negative	SERVICE#GENERAL	STAFF	5:10	THIS STAFF SHOULD BE FIRED.	STAFF 5:10 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	menu	4:8	The menu looked great, and the waiter was very nice, but when the food came, it was average.	menu 4:8 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	tuna	4:8	The tuna and wasabe potatoes are excellent.	tuna 4:8 FOOD#QUALITY
negative	SERVICE#GENERAL	staff	82:87	The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.	staff 82:87 SERVICE#GENERAL
negative	SERVICE#GENERAL	service	76:83	sometimes i get bad food and bad service, sometimes i get good good and bad service.	service 76:83 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	BBQ ribs	38:46	This place has the best Chinese style BBQ ribs in the city.	BBQ ribs 38:46 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	place	6:11	Great place to relax and enjoy your dinner	place 6:11 AMBIENCE#GENERAL
negative	FOOD#QUALITY	appetizer of olives	73:92	"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing."	appetizer of olives 73:92 FOOD#QUALITY
negative	FOOD#QUALITY	foods	67:72	We thought that this place is using too much of MSG cooking in the foods.	foods 67:72 FOOD#QUALITY
positive	DRINKS#QUALITY	drinks	12:18	Always good drinks and service is pretty good;	drinks 12:18 DRINKS#QUALITY
